vaga_simplificada,senioridade,nome_empresa,tamanho,tipo_propriedade,industria,setor,receita,cidade,estado,idade_empresa,nota,fg_glassdor_est,fg_por_hora,descricao_qtd_palavras,estatistica,programacao,etl,saas,ferramentas_bi,ml_ai,salario_medio
Data Scientist,Senior,"Silverback Therapeutics, Inc.",1 to 50 Employees,Company - Public,Unknown,Unknown,Unknown,Seattle,WA,28.0,3.1,1,0,134,0,0,0,0,0,0,107500.0
Data Scientist,Unknown,Fulgent Genetics,51 to 200 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,Temple City,CA,28.0,3.6,1,0,133,0,0,0,0,0,0,107500.0
Unknown,Senior,Valkyrie Trading,Unknown,Unknown,Unknown,Unknown,Unknown,Chicago,IL,28.0,3.9,1,0,114,1,0,0,0,0,0,107500.0
Data Scientist,Unknown,Intelligent Automation,51 to 200 Employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD),Rockville,MD,34.0,3.7,1,0,125,0,0,0,0,0,1,107500.0
Manager,Executive,Self Storage Management Company,1 to 50 Employees,Company - Private,Moving Services,Transportation & Logistics,$10 to $25 million (USD),Los Angeles,CA,28.0,4.1,1,0,126,0,0,0,0,0,0,107500.0
Data Scientist,Unknown,Acutis Diagnostics Inc.,51 to 200 Employees,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),Hicksville,NY,7.0,3.6,1,0,154,0,1,0,0,0,0,107500.0
Data Engineer,Unknown,CORESTAFF Services,201 to 500 Employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown,Atlanta,GA,23.0,3.5,1,0,121,0,0,0,1,0,0,107500.0
Data Engineer,Unknown,TriMedia Environmental & Engineering,Unknown,Unknown,Unknown,Unknown,Unknown,Marquette,MI,28.0,3.9,1,0,249,0,0,0,0,1,0,107500.0
Data Engineer,Senior,Liberty Mutual Insurance,10000+ Employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Dover,NH,109.0,3.8,1,0,176,0,0,0,0,0,0,107500.0
Data Analyist,Unknown,"Alarm Detection Systems, Inc",201 to 500 Employees,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),Aurora,IL,53.0,4.2,1,0,124,0,0,0,0,0,0,107500.0
Manager,Executive,Select Medical,10000+ Employees,Company - Public,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),Mechanicsburg,PA,25.0,3.4,1,0,191,0,0,0,1,0,0,107500.0
Data Scientist,Senior,Scismic,1 to 50 Employees,Company - Private,Unknown,Unknown,Unknown,Brooklyn,NY,28.0,3.9,1,0,168,0,0,0,0,0,0,107500.0
Data Engineer,Senior,Progressive Leasing,1001 to 5000 Employees,Company - Public,Financial Transaction Processing,Finance,$1 to $2 billion (USD),Draper,UT,22.0,4.1,1,0,117,0,0,0,0,0,0,107500.0
Manager,Executive,DOCS Management Services,Unknown,Unknown,Unknown,Unknown,Unknown,Coos Bay,OR,28.0,3.9,1,0,114,0,0,0,0,0,0,107500.0
Data Scientist,Senior,"Ribometrix, INC",1 to 50 Employees,Company - Private,Unknown,Unknown,Unknown,Durham,NC,28.0,3.3,1,0,191,0,0,0,0,0,0,107500.0
Data Analyist,Senior,Stanley Black & Decker,10000+ Employees,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),New Britain,CT,178.0,3.7,1,0,319,0,0,0,0,1,0,107500.0
Data Scientist,Unknown,Procom,5001 to 10000 Employees,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),Irving,TX,43.0,4.3,1,0,123,0,0,1,0,0,0,106500.0
Data Scientist,Unknown,Salesforce,10000+ Employees,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),San Francisco,CA,22.0,4.4,1,0,292,0,0,0,0,0,1,106500.0
Data Scientist,Senior,NexImmune,Unknown,Unknown,Unknown,Unknown,Unknown,Gaithersburg,MD,28.0,3.9,1,0,183,0,0,0,0,0,1,106500.0
Data Analyist,Executive,"OGI, LLC",1 to 50 Employees,Company - Private,Consumer Products Manufacturing,Manufacturing,$1 to $5 million (USD),Minneapolis,MN,24.0,3.1,1,0,155,1,0,0,1,0,0,106500.0
Data Engineer,Unknown,Kum & Go,1001 to 5000 Employees,Company - Private,Convenience Stores & Truck Stops,"Restaurants, Bars & Food Services",$500 million to $1 billion (USD),Des Moines,IA,63.0,3.7,1,0,154,0,0,1,0,0,0,106500.0
Data Scientist,Unknown,Northwest Energy Efficiency Alliance,51 to 200 Employees,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),Portland,OR,25.0,3.7,1,0,168,0,0,0,0,0,0,106500.0
Data Scientist,Unknown,BankUnited,1001 to 5000 Employees,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),Miami Lakes,FL,12.0,3.0,1,0,148,1,0,0,0,0,1,106500.0
